,category_id,description,category_path
0,474,sensodyne pronamel mint,Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
1,474,"Close-up Toothpaste, Refreshing Red Gel, Anticavity Fluoride, Cinnamon 4 Oz",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
2,474,"sensodyne toothpaste for sensitive teeth and cavity prevention, maximum strength, fresh mint, 4-ounce tubes (pack of 4) health and beauty",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
3,474,baking soda & peroxide whitening with tartar protection fresh mint toothpaste 6.4 oz (pack of 6),Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
4,474,tom's of maine maximum,Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
5,474,orajel toddler training toothpaste thomas  friends tooty fruity flavor 15 oz pack of 3 new,Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
6,474,spry toothpaste peppermint 4 oz (113 g) 4 ounces quantity: 2,Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
7,474,"aquafresh triple protection toothpaste with fluoride, buy three 8.2 oz tubes get one free - 4 tubes new",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
8,474,"Crest Kid's Crest, Fluoride Anticavity Toothpaste, Sparkle Fun Flavor, 4.6-",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
9,474,tom's of maine - natural toothpaste simply white with fluoride clean mint - 0.9 oz.,Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
10,474,Opalescence Whitening Toothpaste 4.7 fl. oz (133 g),Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
11,474,"Arm & Hammer Advance White Extreme WhiteningToothpaste,Fresh Mint, 6 Oz, Twin Pack",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
12,474,earthpaste - 3 pack - wintergreen - natural organic flouride free toothpaste - 4 ounce tubes health and beauty,Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
13,474,"archtek toothpaste tablets, cool mint - 60 ea new",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
14,474,antiplaque & whitening-spearmint tom's of maine 5.5 oz paste misc.,Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
15,474,arm & hammer truly radiant,Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
16,474,"Elgydium Anti Plaque Toothpaste 100g, 3 (Three) Tubes",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
17,474,"R.O.C.S Toothpaste ""Sensation Whitening"" 74ml. Fluoride Free.",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
18,474,"sensodyne maximum strength anticavity toothpaste for sensitive teeth with fluriode and cavity proctection, cool gel - 4 oz",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
19,474,"colgate total anticavity fluoride and antigingivitis toothpaste, clean mint 7.8 oz (pack of 4)",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
20,474,Complete Multi-Benefit Whitening Plus Herbal Mint Flavor Expressions Toothpaste 6.0 oz (Pack of 6),Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
21,474,nu skin ap-24 anti-plaque fluoride toothpaste,Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
22,474,"rembrandt plus premium whitening fluoride toothpaste with peroxide, fresh mint, 2.6 oz.",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
23,474,"closys fluoride toothpaste, 0.75 ounce",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
24,474,street pharm,Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
25,474,"aquafresh triple protection fluoride toothpaste, cavity protection, 6.4 oz tubes (pack of 6)",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
26,474,"lemon twist earthpaste toothpaste, 4 oz (pack of 2)",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
27,474,arm and hammer teeth,Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
28,474,"Crest Pro-Health Stages Finding Dory Toothpaste, 4.2 Ounce",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
29,474,crest complete extra white plus scope dual-blast fresh breath toothpaste - fresh mint blast 7.6 oz (pack of 2),Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
30,474,"trader joe's antiplaque toothpaste with fennel, propolis & myrrh 6 oz",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
31,474,"Mentadent Anticavity Fluoride Toothpaste Twin Refills, Advanced Whitening,",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
32,474,"aquafresh, extreme clean whitening toothpaste - 0.8 oz, 3 pack",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
33,474,sensodyne pronamel gentle whitening twin pack toothpaste 4 ounce health and beauty,Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
34,474,"colgate total anticavity fluoride and antigingivitis toothpaste, clean mint, paste, 7.8 oz (221 g) (pack of 6)",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
35,474,"Epic Dental Fluoride Free Xylitol Toothpaste, Spearmint, 4.9 Oz Tube (Multi-Pack)",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
36,474,plus white xtra whitening gel toothpaste -- 3.5 oz.,Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
37,474,"biotene toothpaste, gentle mint, 4.3 ounce",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
38,474,"arm & hammer complete care plus whitening toothpaste with baking soda & peroxide, packaging may vary, 6-ounce tubes (pack of 6)",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
39,474,"tom's of maine natural antiplaque tartar control & whitening toothpaste, peppermint, 1 oz (28.3 g) (pack of 12)",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
40,474,"Davids Natural Toothpaste, Fluoride-Free, SLS-Free, Whitening, Antiplaque, Peppermint Oil, 5.25 OZ",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
41,474,"dr. collins natural toothpaste, vanilla mint with goji berry, 4.2 ounce (pack of 2)",Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
42,474,THEODENT KIDS Fluoride-Free Toothpaste with Rennou™ - Whitening Chocolate Chip,Health & Beauty > Personal Care > Oral Hygiene > Toothpaste
